127.0.0.1 - - [21/Aug/2025:14:43:53 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/ HTTP/1.1" 200 44209
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/Images/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/assests/Dogs.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/index.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/assests/BirdsNav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/Images/Dogmain.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/assests/FishNav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/assests/cat.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/Images/Bird.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/Images/cat2.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/Images/Fish.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/img/dogs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/img/fish.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/img/cat2.jfif.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/img/cat.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/img/Dogs1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/img/birds-cage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/Images/Logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/img/Aboutus.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:54 +0530] "GET /PetHubProject/Images1/banner.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:55 +0530] "GET /PetHubProject/Images1/CatVideo.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:14:43:55 +0530] "GET /favicon.ico HTTP/1.1" 404 763
